Y1Fe3           | TM ratio: 0.750 |  4 atoms
Y1Fe4           | TM ratio: 0.800 |  5 atoms
Y1Fe5           | TM ratio: 0.833 |  6 atoms
Y1Fe6           | TM ratio: 0.857 |  7 atoms
Y1Fe7           | TM ratio: 0.875 |  8 atoms
Y1Fe8           | TM ratio: 0.889 |  9 atoms
Y1Fe9           | TM ratio: 0.900 | 10 atoms
Y1Fe10          | TM ratio: 0.909 | 11 atoms
Y1Fe11          | TM ratio: 0.917 | 12 atoms
Y1Fe12          | TM ratio: 0.923 | 13 atoms
Y1Fe13          | TM ratio: 0.929 | 14 atoms
Y1Fe14          | TM ratio: 0.933 | 15 atoms
Y1Fe15          | TM ratio: 0.938 | 16 atoms
Y1Fe16          | TM ratio: 0.941 | 17 atoms
Y1Fe17          | TM ratio: 0.944 | 18 atoms
Y1Fe18          | TM ratio: 0.947 | 19 atoms
Y1Fe19          | TM ratio: 0.950 | 20 atoms
Y2Fe7           | TM ratio: 0.778 |  9 atoms
Y2Fe9           | TM ratio: 0.818 | 11 atoms
Y2Fe11          | TM ratio: 0.846 | 13 atoms
Y2Fe13          | TM ratio: 0.867 | 15 atoms
Y2Fe15          | TM ratio: 0.882 | 17 atoms
Y2Fe17          | TM ratio: 0.895 | 19 atoms
Y3Fe10          | TM ratio: 0.769 | 13 atoms
Y3Fe11          | TM ratio: 0.786 | 14 atoms
Y3Fe13          | TM ratio: 0.812 | 16 atoms
Y3Fe14          | TM ratio: 0.824 | 17 atoms
Y3Fe16          | TM ratio: 0.842 | 19 atoms
Y3Fe17          | TM ratio: 0.850 | 20 atoms
Y4Fe13          | TM ratio: 0.765 | 17 atoms
Y4Fe15          | TM ratio: 0.789 | 19 atoms
Y1Co3           | TM ratio: 0.750 |  4 atoms
Y1Co4           | TM ratio: 0.800 |  5 atoms
Y1Co5           | TM ratio: 0.833 |  6 atoms
Y1Co6           | TM ratio: 0.857 |  7 atoms
Y1Co7           | TM ratio: 0.875 |  8 atoms
Y1Co8           | TM ratio: 0.889 |  9 atoms
Y1Co9           | TM ratio: 0.900 | 10 atoms
Y1Co10          | TM ratio: 0.909 | 11 atoms
Y1Co11          | TM ratio: 0.917 | 12 atoms
Y1Co12          | TM ratio: 0.923 | 13 atoms
Y1Co13          | TM ratio: 0.929 | 14 atoms
Y1Co14          | TM ratio: 0.933 | 15 atoms
Y1Co15          | TM ratio: 0.938 | 16 atoms
Y1Co16          | TM ratio: 0.941 | 17 atoms
Y1Co17          | TM ratio: 0.944 | 18 atoms
Y1Co18          | TM ratio: 0.947 | 19 atoms
Y1Co19          | TM ratio: 0.950 | 20 atoms
Y2Co7           | TM ratio: 0.778 |  9 atoms
Y2Co9           | TM ratio: 0.818 | 11 atoms
Y2Co11          | TM ratio: 0.846 | 13 atoms
Y2Co13          | TM ratio: 0.867 | 15 atoms
Y2Co15          | TM ratio: 0.882 | 17 atoms
Y2Co17          | TM ratio: 0.895 | 19 atoms
Y3Co10          | TM ratio: 0.769 | 13 atoms
Y3Co11          | TM ratio: 0.786 | 14 atoms
Y3Co13          | TM ratio: 0.812 | 16 atoms
Y3Co14          | TM ratio: 0.824 | 17 atoms
Y3Co16          | TM ratio: 0.842 | 19 atoms
Y3Co17          | TM ratio: 0.850 | 20 atoms
Y4Co13          | TM ratio: 0.765 | 17 atoms
Y4Co15          | TM ratio: 0.789 | 19 atoms
Y1Ni3           | TM ratio: 0.750 |  4 atoms
Y1Ni4           | TM ratio: 0.800 |  5 atoms
Y1Ni5           | TM ratio: 0.833 |  6 atoms
Y1Ni6           | TM ratio: 0.857 |  7 atoms
Y1Ni7           | TM ratio: 0.875 |  8 atoms
Y1Ni8           | TM ratio: 0.889 |  9 atoms
Y1Ni9           | TM ratio: 0.900 | 10 atoms
Y1Ni10          | TM ratio: 0.909 | 11 atoms
Y1Ni11          | TM ratio: 0.917 | 12 atoms
Y1Ni12          | TM ratio: 0.923 | 13 atoms
Y1Ni13          | TM ratio: 0.929 | 14 atoms
Y1Ni14          | TM ratio: 0.933 | 15 atoms
Y1Ni15          | TM ratio: 0.938 | 16 atoms
Y1Ni16          | TM ratio: 0.941 | 17 atoms
Y1Ni17          | TM ratio: 0.944 | 18 atoms
Y1Ni18          | TM ratio: 0.947 | 19 atoms
Y1Ni19          | TM ratio: 0.950 | 20 atoms
Y2Ni7           | TM ratio: 0.778 |  9 atoms
Y2Ni9           | TM ratio: 0.818 | 11 atoms
Y2Ni11          | TM ratio: 0.846 | 13 atoms
Y2Ni13          | TM ratio: 0.867 | 15 atoms
Y2Ni15          | TM ratio: 0.882 | 17 atoms
Y2Ni17          | TM ratio: 0.895 | 19 atoms
Y3Ni10          | TM ratio: 0.769 | 13 atoms
Y3Ni11          | TM ratio: 0.786 | 14 atoms
Y3Ni13          | TM ratio: 0.812 | 16 atoms
Y3Ni14          | TM ratio: 0.824 | 17 atoms
Y3Ni16          | TM ratio: 0.842 | 19 atoms
Y3Ni17          | TM ratio: 0.850 | 20 atoms
Y4Ni13          | TM ratio: 0.765 | 17 atoms
Y4Ni15          | TM ratio: 0.789 | 19 atoms
