Y1Fe6Ti1             | TM ratio: 0.750 |  8 atoms
Y1Fe7Ti1             | TM ratio: 0.778 |  9 atoms
Y1Fe8Ti1             | TM ratio: 0.800 | 10 atoms
Y1Fe9Ti1             | TM ratio: 0.818 | 11 atoms
Y1Fe9Ti2             | TM ratio: 0.750 | 12 atoms
Y1Fe10Ti1            | TM ratio: 0.833 | 12 atoms
Y1Fe10Ti2            | TM ratio: 0.769 | 13 atoms
Y1Fe11Ti1            | TM ratio: 0.846 | 13 atoms
Y1Fe11Ti2            | TM ratio: 0.786 | 14 atoms
Y1Fe12Ti1            | TM ratio: 0.857 | 14 atoms
Y1Fe12Ti2            | TM ratio: 0.800 | 15 atoms
Y1Fe12Ti3            | TM ratio: 0.750 | 16 atoms
Y1Fe13Ti1            | TM ratio: 0.867 | 15 atoms
Y1Fe13Ti2            | TM ratio: 0.812 | 16 atoms
Y1Fe13Ti3            | TM ratio: 0.765 | 17 atoms
Y1Fe14Ti1            | TM ratio: 0.875 | 16 atoms
Y1Fe14Ti2            | TM ratio: 0.824 | 17 atoms
Y1Fe14Ti3            | TM ratio: 0.778 | 18 atoms
Y1Fe15Ti1            | TM ratio: 0.882 | 17 atoms
Y1Fe15Ti2            | TM ratio: 0.833 | 18 atoms
Y1Fe15Ti3            | TM ratio: 0.789 | 19 atoms
Y1Fe15Ti4            | TM ratio: 0.750 | 20 atoms
Y1Fe16Ti1            | TM ratio: 0.889 | 18 atoms
Y1Fe16Ti2            | TM ratio: 0.842 | 19 atoms
Y1Fe16Ti3            | TM ratio: 0.800 | 20 atoms
Y1Fe17Ti1            | TM ratio: 0.895 | 19 atoms
Y1Fe17Ti2            | TM ratio: 0.850 | 20 atoms
Y1Fe18Ti1            | TM ratio: 0.900 | 20 atoms
Y2Fe9Ti1             | TM ratio: 0.750 | 12 atoms
Y2Fe10Ti1            | TM ratio: 0.769 | 13 atoms
Y2Fe11Ti1            | TM ratio: 0.786 | 14 atoms
