chemsys,mp_id,formula,mp_form_energy,mp_e_above_hull,mp_on_hull,MatterSim_form_energy,MatterSim_e_above_hull,MatterSim_on_hull,change
Co-Cr,mp-1008280,CrCo3,0.062942,0.062942,False,-0.025135,0.018911,False,
Co-Cr,mp-1010071,CrCo,0.153561,0.153561,False,0.116072,0.145437,False,
Co-Cr,mp-102,Co,0.016114,0.016114,False,0.009481,0.009481,False,
Co-Cr,mp-1025503,Cr3Co,0.252124,0.252124,False,0.225999,0.240681,False,
Co-Cr,mp-1059289,Cr,0.335908,0.335908,False,0.289958,0.289958,False,
Co-Cr,mp-1072089,Co,0.199326,0.199326,False,0.179613,0.179613,False,
Co-Cr,mp-1077706,Cr2Co,0.287943,0.287943,False,0.347289,0.366865,False,
Co-Cr,mp-1087479,CrCo3,0.024229,0.024229,False,-0.044047,0.0,True,GAINED
Co-Cr,mp-1183710,Co,0.005447,0.005447,False,0.004962,0.004962,False,
Co-Cr,mp-1192789,Cr,0.263578,0.263578,False,0.244362,0.244362,False,
Co-Cr,mp-1193227,Co,0.126341,0.126341,False,0.119397,0.119397,False,
Co-Cr,mp-1226209,CrCo3,0.084143,0.084143,False,0.085882,0.129929,False,
Co-Cr,mp-1226444,Cr3Co2,0.078547,0.078547,False,0.027911,0.051402,False,
Co-Cr,mp-1227307,Cr8Co7,0.106213,0.106213,False,0.039032,0.066439,False,
Co-Cr,mp-1271142,Co,0.010145,0.010145,False,1e-06,1e-06,True,GAINED
Co-Cr,mp-17,Cr,0.081128,0.081128,False,0.083919,0.083919,False,
Co-Cr,mp-2647057,Co,0.089566,0.089566,False,0.089122,0.089122,False,
Co-Cr,mp-54,Co,0.0,0.0,True,0.0,0.0,True,
Co-Cr,mp-669382,Co,0.117662,0.117662,False,0.088746,0.088746,False,
Co-Cr,mp-8633,Cr,0.402526,0.402526,False,0.374243,0.374243,False,
Co-Cr,mp-89,Cr,0.42034,0.42034,False,0.364079,0.364079,False,
Co-Cr,mp-90,Cr,0.0,0.0,True,0.0,0.0,True,
Co-Cu,mp-1010136,Cu,0.035708,0.035708,False,0.035359,0.035359,False,
Co-Cu,mp-102,Co,0.016114,0.016114,False,0.009481,0.009481,False,
Co-Cu,mp-1056079,Cu,1.982934,1.982934,False,1.958183,1.958183,False,
Co-Cu,mp-1059259,Cu,0.142906,0.142906,False,0.152877,0.152877,False,
Co-Cu,mp-1072089,Co,0.199326,0.199326,False,0.179613,0.179613,False,
Co-Cu,mp-1120774,Cu,0.159117,0.159117,False,0.13668,0.13668,False,
Co-Cu,mp-1183710,Co,0.005447,0.005447,False,0.004962,0.004962,False,
Co-Cu,mp-1183752,Co3Cu,0.118587,0.118587,False,0.075389,0.075389,False,
Co-Cu,mp-1193227,Co,0.126341,0.126341,False,0.119397,0.119397,False,
Co-Cu,mp-1271142,Co,0.010145,0.010145,False,1e-06,1e-06,True,GAINED
Co-Cu,mp-2647057,Co,0.089566,0.089566,False,0.089122,0.089122,False,
Co-Cu,mp-30,Cu,0.0,0.0,True,0.0,0.0,True,
Co-Cu,mp-54,Co,0.0,0.0,True,0.0,0.0,True,
Co-Cu,mp-669382,Co,0.117662,0.117662,False,0.088746,0.088746,False,
Co-Cu,mp-989695,Cu,0.005766,0.005766,False,0.00025,0.00025,False,
Co-Cu,mp-989782,Cu,0.007492,0.007492,False,0.000483,0.000483,False,
Co-Cu,mp-998890,Cu,0.03664,0.03664,False,0.035611,0.035611,False,
