chemsys,mp_id,formula,mp_form_energy,mp_e_above_hull,mp_on_hull,VASP_form_energy,VASP_e_above_hull,VASP_on_hull,change
Co-Cr,mp-1008280,CrCo3,0.062942,0.062942,False,0.028831,0.031528,False,
Co-Cr,mp-1010071,CrCo,0.153561,0.153561,False,0.148606,0.150404,False,
Co-Cr,mp-102,Co,0.016114,0.016114,False,0.019652,0.019652,False,
Co-Cr,mp-1025503,Cr3Co,0.252124,0.252124,False,0.236237,0.237136,False,
Co-Cr,mp-1059289,Cr,0.335908,0.335908,False,0.310405,0.310405,False,
Co-Cr,mp-1072089,Co,0.199326,0.199326,False,0.205037,0.205037,False,
Co-Cr,mp-1077706,Cr2Co,0.287943,0.287943,False,0.28507,0.286268,False,
Co-Cr,mp-1087479,CrCo3,0.024229,0.024229,False,-0.002697,0.0,True,GAINED
Co-Cr,mp-1183710,Co,0.005447,0.005447,False,0.002326,0.002326,False,
Co-Cr,mp-1192789,Cr,0.263578,0.263578,False,0.240158,0.240158,False,
Co-Cr,mp-1193227,Co,0.126341,0.126341,False,0.126565,0.126565,False,
Co-Cr,mp-1226209,CrCo3,0.084143,0.084143,False,0.078993,0.08169,False,
Co-Cr,mp-1226444,Cr3Co2,0.078547,0.078547,False,0.061275,0.062714,False,
Co-Cr,mp-1227307,Cr8Co7,0.106213,0.106213,False,0.089413,0.091091,False,
Co-Cr,mp-1271142,Co,0.010145,0.010145,False,0.0,0.0,True,GAINED
Co-Cr,mp-17,Cr,0.081128,0.081128,False,0.060141,0.060141,False,
Co-Cr,mp-2647057,Co,0.089566,0.089566,False,0.090686,0.090686,False,
Co-Cr,mp-54,Co,0.0,0.0,True,3.8e-05,3.8e-05,True,
Co-Cr,mp-669382,Co,0.117662,0.117662,False,0.10765,0.10765,False,
Co-Cr,mp-8633,Cr,0.402526,0.402526,False,0.389809,0.389809,False,
Co-Cr,mp-89,Cr,0.42034,0.42034,False,0.396013,0.396013,False,
Co-Cr,mp-90,Cr,0.0,0.0,True,0.0,0.0,True,
Co-Cu,mp-1010136,Cu,0.035708,0.035708,False,0.035523,0.035523,False,
Co-Cu,mp-102,Co,0.016114,0.016114,False,0.019652,0.019652,False,
Co-Cu,mp-1056079,Cu,1.982934,1.982934,False,2.047267,2.047267,False,
Co-Cu,mp-1059259,Cu,0.142906,0.142906,False,0.150243,0.150243,False,
Co-Cu,mp-1072089,Co,0.199326,0.199326,False,0.205037,0.205037,False,
Co-Cu,mp-1120774,Cu,0.159117,0.159117,False,0.174446,0.174446,False,
Co-Cu,mp-1183710,Co,0.005447,0.005447,False,0.002326,0.002326,False,
Co-Cu,mp-1183752,Co3Cu,0.118587,0.118587,False,0.120854,0.120854,False,
Co-Cu,mp-1193227,Co,0.126341,0.126341,False,0.126565,0.126565,False,
Co-Cu,mp-1271142,Co,0.010145,0.010145,False,0.0,0.0,True,GAINED
Co-Cu,mp-2647057,Co,0.089566,0.089566,False,0.090686,0.090686,False,
Co-Cu,mp-30,Cu,0.0,0.0,True,0.0,0.0,True,
Co-Cu,mp-54,Co,0.0,0.0,True,3.8e-05,3.8e-05,True,
Co-Cu,mp-669382,Co,0.117662,0.117662,False,0.10765,0.10765,False,
Co-Cu,mp-989695,Cu,0.005766,0.005766,False,0.017,0.017,False,
Co-Cu,mp-989782,Cu,0.007492,0.007492,False,0.025389,0.025389,False,
Co-Cu,mp-998890,Cu,0.03664,0.03664,False,0.039812,0.039812,False,
Co-Gd,mp-102,Co,0.016114,0.016114,False,0.019652,0.019652,False,
Co-Gd,mp-1072089,Co,0.199326,0.199326,False,0.205037,0.205037,False,
Co-Gd,mp-1077071,GdCo5,-0.072854,0.0,True,-0.07166,0.018055,False,LOST
Co-Gd,mp-11421,Gd,0.0876,0.0876,False,0.091168,0.091168,False,
Co-Gd,mp-1183710,Co,0.005447,0.005447,False,0.002326,0.002326,False,
Co-Gd,mp-1193227,Co,0.126341,0.126341,False,0.126565,0.126565,False,
Co-Gd,mp-1201816,Gd2Co17,0.668625,0.714638,False,-0.070348,0.0,True,GAINED
Co-Gd,mp-1225806,Gd4Co3,-0.134522,0.0,True,-0.137915,0.0,True,
Co-Gd,mp-1271142,Co,0.010145,0.010145,False,0.0,0.0,True,GAINED
Co-Gd,mp-155,Gd,0.0,0.0,True,0.0,0.0,True,
Co-Gd,mp-19981,Gd,0.030212,0.030212,False,0.033975,0.033975,False,
Co-Gd,mp-2647057,Co,0.089566,0.089566,False,0.090686,0.090686,False,
Co-Gd,mp-54,Co,0.0,0.0,True,3.8e-05,3.8e-05,True,
Co-Gd,mp-542633,GdCo2,1.53201,1.630257,False,-0.142279,0.0,True,GAINED
Co-Gd,mp-570087,Gd,0.020306,0.020306,False,0.021152,0.021152,False,
Co-Gd,mp-614502,Gd,0.048381,0.048381,False,0.043918,0.043918,False,
Co-Gd,mp-669382,Co,0.117662,0.117662,False,0.10765,0.10765,False,
Co-Mn,mp-1009133,MnCo,-0.025857,0.0,True,-0.015156,0.0,True,
Co-Mn,mp-102,Co,0.016114,0.016114,False,0.019652,0.019652,False,
Co-Mn,mp-1055908,Mn,0.145445,0.145445,False,0.160365,0.160365,False,
Co-Mn,mp-1057139,Mn,0.65752,0.65752,False,0.672163,0.672163,False,
Co-Mn,mp-1072089,Co,0.199326,0.199326,False,0.205037,0.205037,False,
Co-Mn,mp-1183710,Co,0.005447,0.005447,False,0.002326,0.002326,False,
Co-Mn,mp-1185970,Mn3Co,-0.016073,0.0,True,0.003361,0.010938,False,LOST
Co-Mn,mp-1186063,MnCo3,0.076682,0.08961,False,0.037218,0.044796,False,
Co-Mn,mp-1191484,Mn,0.806585,0.806585,False,0.82508,0.82508,False,
Co-Mn,mp-1193227,Co,0.126341,0.126341,False,0.126565,0.126565,False,
Co-Mn,mp-1271142,Co,0.010145,0.010145,False,0.0,0.0,True,GAINED
Co-Mn,mp-2647025,Mn,0.052632,0.052632,False,0.074523,0.074523,False,
Co-Mn,mp-2647057,Co,0.089566,0.089566,False,0.090686,0.090686,False,
Co-Mn,mp-35,Mn,0.0,0.0,True,0.0,0.0,True,
Co-Mn,mp-54,Co,0.0,0.0,True,3.8e-05,3.8e-05,True,
Co-Mn,mp-542909,Mn,0.052947,0.052947,False,0.068178,0.068178,False,
Co-Mn,mp-669382,Co,0.117662,0.117662,False,0.10765,0.10765,False,
Co-Mn,mp-8634,Mn,0.083098,0.083098,False,0.094943,0.094943,False,
Co-Mn,mp-999543,MnCo3,0.084163,0.097092,False,0.037629,0.045207,False,
Co-Ti,mp-102,Co,0.016114,0.016114,False,0.019652,0.019652,False,
Co-Ti,mp-1072089,Co,0.199326,0.199326,False,0.205037,0.205037,False,
Co-Ti,mp-1079863,TiCo3,-0.225042,0.036661,False,-0.221807,0.035718,False,
Co-Ti,mp-1183710,Co,0.005447,0.005447,False,0.002326,0.002326,False,
Co-Ti,mp-1191331,Ti2Co,-0.284904,0.0,True,-0.28204,0.0,True,
Co-Ti,mp-1191422,TiCo2,-0.304797,0.003179,False,-0.305994,0.0,True,GAINED
Co-Ti,mp-1193227,Co,0.126341,0.126341,False,0.126565,0.126565,False,
Co-Ti,mp-1208216,TiCo4,0.727974,0.937336,False,0.737055,0.943074,False,
Co-Ti,mp-1208254,Ti4Co,0.492608,0.66355,False,0.493736,0.66296,False,
Co-Ti,mp-1238818,Ti,0.310308,0.310308,False,0.309075,0.309075,False,
Co-Ti,mp-1244924,Ti,0.183287,0.183287,False,0.182224,0.182224,False,
Co-Ti,mp-1245006,Ti,0.141384,0.141384,False,0.137373,0.137373,False,
Co-Ti,mp-1245164,Ti,0.138332,0.138332,False,0.137808,0.137808,False,
Co-Ti,mp-1245170,Ti,0.169614,0.169614,False,0.168655,0.168655,False,
Co-Ti,mp-1245320,Ti,0.155102,0.155102,False,0.162302,0.162302,False,
Co-Ti,mp-1271142,Co,0.010145,0.010145,False,0.0,0.0,True,GAINED
Co-Ti,mp-2647057,Co,0.089566,0.089566,False,0.090686,0.090686,False,
Co-Ti,mp-30566,Ti2Co,0.439726,0.724629,False,0.450337,0.732377,False,
Co-Ti,mp-46,Ti,0.004435,0.004435,False,0.005132,0.005132,False,
Co-Ti,mp-54,Co,0.0,0.0,True,3.8e-05,3.8e-05,True,
Co-Ti,mp-608,TiCo3,-0.261703,0.0,True,-0.257524,0.0,True,
Co-Ti,mp-669382,Co,0.117662,0.117662,False,0.10765,0.10765,False,
Co-Ti,mp-695,TiCo2,-0.302375,0.005601,False,-0.301887,0.004107,False,
Co-Ti,mp-6985,Ti,0.061963,0.061963,False,0.066316,0.066316,False,
Co-Ti,mp-72,Ti,0.0,0.0,True,0.0,0.0,True,
Co-Ti,mp-73,Ti,0.112036,0.112036,False,0.115654,0.115654,False,
Co-Ti,mp-823,TiCo,-0.40052,0.0,True,-0.396061,0.0,True,
Co-V,mp-1002109,VCo,-0.086133,0.098219,False,-0.085615,0.099837,False,
Co-V,mp-1017529,VCo3,-0.169152,0.003333,False,-0.170552,0.005606,False,
Co-V,mp-102,Co,0.016114,0.016114,False,0.019652,0.019652,False,
Co-V,mp-1072089,Co,0.199326,0.199326,False,0.205037,0.205037,False,
Co-V,mp-1095057,VCo3,-0.165672,0.006813,False,-0.169697,0.006462,False,
Co-V,mp-1183710,Co,0.005447,0.005447,False,0.002326,0.002326,False,
Co-V,mp-1193227,Co,0.126341,0.126341,False,0.126565,0.126565,False,
Co-V,mp-1216400,VCo4,0.050842,0.188829,False,0.03535,0.176277,False,
Co-V,mp-1216405,VCo3,0.047773,0.220258,False,0.056543,0.232702,False,
Co-V,mp-1271142,Co,0.010145,0.010145,False,0.0,0.0,True,GAINED
Co-V,mp-146,V,0.0,0.0,True,0.0,0.0,True,
Co-V,mp-1585,V3Co,-0.196219,0.0,True,-0.194746,0.0,True,
Co-V,mp-2647057,Co,0.089566,0.089566,False,0.090686,0.090686,False,
Co-V,mp-2647074,V,0.253785,0.253785,False,0.252177,0.252177,False,
Co-V,mp-54,Co,0.0,0.0,True,3.8e-05,3.8e-05,True,
Co-V,mp-542614,VCo3,-0.172485,0.0,True,-0.176159,0.0,True,
Co-V,mp-669382,Co,0.117662,0.117662,False,0.10765,0.10765,False,
Co-V,mp-680599,VCo3,0.993776,1.166261,False,0.993172,1.169331,False,
Co-V,mp-8632,V,0.24714,0.24714,False,0.236842,0.236842,False,
Co-Y,mp-102,Co,0.016114,0.016114,False,0.019652,0.019652,False,
Co-Y,mp-1072089,Co,0.199326,0.199326,False,0.205037,0.205037,False,
Co-Y,mp-1105598,Y3Co,-0.144205,0.0,True,-0.135824,0.000122,False,LOST
Co-Y,mp-1106140,Y2Co17,-0.094235,0.0,True,-0.0918,0.0,True,
Co-Y,mp-112,Y,0.00355,0.00355,False,0.0,0.0,True,GAINED
Co-Y,mp-1183710,Co,0.005447,0.005447,False,0.002326,0.002326,False,
Co-Y,mp-1187717,Y,0.006933,0.006933,False,0.009822,0.009822,False,
Co-Y,mp-1187739,Y,0.0,0.0,True,0.018676,0.018676,False,LOST
Co-Y,mp-1188333,Y2Co7,-0.059272,0.077357,False,-0.150952,0.0,True,GAINED
Co-Y,mp-1189329,Y3Co,-0.142648,0.001556,False,-0.135946,0.0,True,GAINED
Co-Y,mp-1192425,YCo3,-0.105986,0.040712,False,-0.155103,0.004627,False,
Co-Y,mp-1193227,Co,0.126341,0.126341,False,0.126565,0.126565,False,
Co-Y,mp-1216292,Y4Co3,-0.148959,0.0331,False,-0.141924,0.031181,False,
Co-Y,mp-1271142,Co,0.010145,0.010145,False,0.0,0.0,True,GAINED
Co-Y,mp-1294,YCo2,-0.176904,0.0,True,-0.174019,0.0,True,
Co-Y,mp-2588,YCo3,-0.096144,0.050554,False,-0.15973,0.0,True,GAINED
Co-Y,mp-2647057,Co,0.089566,0.089566,False,0.090686,0.090686,False,
Co-Y,mp-2827,YCo5,-0.104503,0.011988,False,-0.101078,0.021777,False,
Co-Y,mp-54,Co,0.0,0.0,True,3.8e-05,3.8e-05,True,
Co-Y,mp-570718,Y2Co17,-0.092317,0.001918,False,-0.090629,0.00117,False,
Co-Y,mp-573425,Y8Co5,-0.171517,0.001223,False,-0.164552,0.0,True,GAINED
Co-Y,mp-616512,Y3Co2,-0.165172,0.01083,False,-0.161196,0.00635,False,
Co-Y,mp-669382,Co,0.117662,0.117662,False,0.10765,0.10765,False,
Co-Y,mp-8053,YCo,-0.193673,0.003528,False,-0.187005,0.0,True,GAINED
Co-Y,mp-865373,YCo,-0.197201,0.0,True,-0.184177,0.002828,False,LOST
Co-Y,mp-9,Y,0.023963,0.023963,False,0.024577,0.024577,False,
Co-Zn,mp-102,Co,0.016114,0.016114,False,0.019652,0.019652,False,
Co-Zn,mp-1072089,Co,0.199326,0.199326,False,0.205037,0.205037,False,
Co-Zn,mp-1183710,Co,0.005447,0.005447,False,0.002326,0.002326,False,
Co-Zn,mp-1187812,Zn,0.01085,0.01085,False,0.0,0.0,True,GAINED
Co-Zn,mp-1187951,ZnCo3,0.047224,0.076359,False,0.05831,0.081333,False,
Co-Zn,mp-1187978,ZnCo,0.036646,0.094916,False,0.046204,0.09225,False,
Co-Zn,mp-1187993,Zn3Co,-0.051971,0.035434,False,-0.027702,0.041368,False,
Co-Zn,mp-1192361,Zn11Co2,-0.09861,0.0,True,-0.077925,0.0,True,
Co-Zn,mp-1193227,Co,0.126341,0.126341,False,0.126565,0.126565,False,
Co-Zn,mp-1207538,Zn17Co3,-0.08533,0.012352,False,-0.065779,0.01134,False,
Co-Zn,mp-1215431,ZnCo2,0.020071,0.058917,False,0.025604,0.056302,False,
Co-Zn,mp-1215897,Zn53Co7,-0.089633,0.0,True,-0.070142,0.0,True,
